Timestamp [us],RTC Count,Notes,State To Process,Next State
1678398645667645,-1,,DEPLOY,DEPLOY
1678398646667709,-1,,DEPLOY,DEPLOY
1678398647667784,-1,,DEPLOY,DEPLOY
1678398648667863,-1,,DEPLOY,DEPLOY
1678398649668664,-1,,DEPLOY,DEPLOY
1678398650668738,-1,,DEPLOY,DEPLOY
1678398651668806,-1,,DEPLOY,DEPLOY
1678398696084516,-1,Restarted! | ,CONFIG,START
1678398697084582,-1,,START,DEPLOY
1678398704094107,-1,Restarted! | ,CONFIG,START
1678398705094194,-1,,START,DEPLOY
1678398706094269,-1,,DEPLOY,DEPLOY
1678398707094395,-1,,DEPLOY,DEPLOY
1678398708094483,-1,,DEPLOY,DEPLOY
1678398709094555,-1,,DEPLOY,DEPLOY
1678398710094667,-1,,DEPLOY,DEPLOY
1678398711094759,-1,,DEPLOY,DEPLOY
1678398712094828,-1,,DEPLOY,DEPLOY
1678398713094899,-1,,DEPLOY,DEPLOY
1678398714094972,-1,,DEPLOY,DEPLOY
1678398715095064,-1,,DEPLOY,DEPLOY
1678398716095146,-1,,DEPLOY,DEPLOY
1678398717095213,-1,,DEPLOY,DEPLOY
1678398718095288,-1,,DEPLOY,DEPLOY
1678398719095358,-1,,DEPLOY,DEPLOY
1678398720095429,-1,,DEPLOY,DEPLOY
1678398721095541,-1,,DEPLOY,DEPLOY
1678398722095607,-1,,DEPLOY,DEPLOY
1678398723095675,-1,,DEPLOY,DEPLOY
1678398724095750,-1,,DEPLOY,DEPLOY
1678398725095819,-1,,DEPLOY,DEPLOY
1678398726095884,-1,,DEPLOY,DEPLOY
1678398727095950,-1,,DEPLOY,DEPLOY
1678398728096019,-1,,DEPLOY,DEPLOY
1678398729096085,-1,,DEPLOY,DEPLOY
1678398730096134,-1,,DEPLOY,DEPLOY
1678398731096199,-1,,DEPLOY,DEPLOY
1678398732096266,-1,,DEPLOY,DEPLOY
1678398733096332,-1,,DEPLOY,DEPLOY
1678398734096474,-1,,DEPLOY,DEPLOY
1678398735096539,-1,,DEPLOY,DEPLOY
1678398736096634,-1,,DEPLOY,DEPLOY
1678398737096701,-1,,DEPLOY,DEPLOY
1678398738096774,-1,,DEPLOY,DEPLOY
1678398739096847,-1,,DEPLOY,DEPLOY
1678398740096975,-1,,DEPLOY,DEPLOY
1678398741097046,-1,,DEPLOY,DEPLOY
1678398742097119,-1,,DEPLOY,DEPLOY
1678398743097191,-1,,DEPLOY,DEPLOY
1678398744097418,-1,,DEPLOY,DEPLOY
1678398745097494,-1,,DEPLOY,DEPLOY
1678398746097637,-1,,DEPLOY,DEPLOY
1678398747097853,-1,,DEPLOY,DEPLOY
1678398748097926,-1,,DEPLOY,DEPLOY
1678398749098014,-1,,DEPLOY,DEPLOY
1678398750098084,-1,,DEPLOY,DEPLOY
1678398751098158,-1,,DEPLOY,DEPLOY
1678398752098225,-1,,DEPLOY,DEPLOY
1678398753098302,-1,,DEPLOY,DEPLOY
1678398754098382,-1,,DEPLOY,DEPLOY
1678398755098462,-1,,DEPLOY,DEPLOY
1678398756098534,-1,,DEPLOY,DEPLOY
1678398757098616,-1,,DEPLOY,DEPLOY
1678398758102918,-1,,DEPLOY,DEPLOY
1678398759103003,-1,,DEPLOY,DEPLOY
1678398760103075,-1,,DEPLOY,DEPLOY
1678398761103147,-1,,DEPLOY,DEPLOY
1678398762103216,-1,,DEPLOY,DEPLOY
1678398763103429,-1,,DEPLOY,DEPLOY
1678398764103522,-1,,DEPLOY,DEPLOY
1678398765103592,-1,,DEPLOY,DEPLOY
1678398766103671,-1,,DEPLOY,DEPLOY
1678398767103748,-1,,DEPLOY,DEPLOY
1678398768103999,-1,,DEPLOY,DEPLOY
1678398769104109,-1,,DEPLOY,DEPLOY
1678398770104193,-1,,DEPLOY,DEPLOY
1678398771104349,-1,,DEPLOY,DEPLOY
1678398772104445,-1,,DEPLOY,DEPLOY
1678398773104525,-1,,DEPLOY,DEPLOY
1678398774104637,-1,,DEPLOY,DEPLOY
1678398775104768,-1,,DEPLOY,DEPLOY
1678398776104865,-1,,DEPLOY,DEPLOY
1678398777105027,-1,,DEPLOY,DEPLOY
1678398778105100,-1,,DEPLOY,DEPLOY
1678398779105805,-1,,DEPLOY,DEPLOY
1678398780105884,-1,,DEPLOY,DEPLOY
1678398781105954,-1,,DEPLOY,DEPLOY
1678398782106021,-1,,DEPLOY,DEPLOY
1678398783106091,-1,,DEPLOY,DEPLOY
1678398784106176,-1,,DEPLOY,DEPLOY
1678398785106384,-1,,DEPLOY,DEPLOY
1678398786106452,-1,,DEPLOY,DEPLOY
1678398787106524,-1,,DEPLOY,DEPLOY
1678398788106575,-1,,DEPLOY,DEPLOY
1678398789107188,-1,,DEPLOY,DEPLOY
1678398790107343,-1,,DEPLOY,DEPLOY
1678398791107421,-1,,DEPLOY,DEPLOY
1678398792107469,-1,,DEPLOY,DEPLOY
1678398793107545,-1,,DEPLOY,DEPLOY
1678398794107634,-1,,DEPLOY,DEPLOY
1678398795107701,-1,,DEPLOY,DEPLOY
1678398796108352,-1,,DEPLOY,DEPLOY
1678398797108427,-1,,DEPLOY,DEPLOY
1678398798108504,-1,,DEPLOY,DEPLOY
1678398799108587,-1,,DEPLOY,DEPLOY
1678398800108663,-1,,DEPLOY,DEPLOY
1678398801108733,-1,,DEPLOY,DEPLOY
1678398802108809,-1,,DEPLOY,DEPLOY
1678398803108858,-1,,DEPLOY,DEPLOY
1678398804108956,-1,,DEPLOY,DEPLOY
1678398805109049,-1,,DEPLOY,DEPLOY
1678398806109122,-1,,DEPLOY,DEPLOY
1678398807109196,-1,,DEPLOY,DEPLOY
1678398808109333,-1,,DEPLOY,DEPLOY
1678398809109432,-1,,DEPLOY,DEPLOY
1678398810109501,-1,,DEPLOY,DEPLOY
1678399281395296,-1,Restarted! | ,CONFIG,START
1678399282395378,-1,,START,DEPLOY
1678399283395440,-1,,DEPLOY,DEPLOY
1678399284395509,-1,,DEPLOY,DEPLOY
1678399285396051,-1,,DEPLOY,DEPLOY
1678399286396124,-1,,DEPLOY,DEPLOY
1678399287396206,-1,,DEPLOY,DEPLOY
1678399288396278,-1,,DEPLOY,DEPLOY
1678399289396349,-1,,DEPLOY,DEPLOY
1678399290396415,-1,,DEPLOY,DEPLOY
1678399291396594,-1,,DEPLOY,DEPLOY
1678399292396688,-1,,DEPLOY,DEPLOY
1678399293396755,-1,,DEPLOY,DEPLOY
